Correct_Wording,SMS_Wording
Am I Right,Amirite
As Far As I Know,AFAIK
As Soon As Possible,ASAP
At,@
At The Moment,ATM
as fuck,AF
Away From Keyboard,AFK
Be Right Back,BRB
Because,B/C
Boyfriend,BF
Best Friend Forever,BFF
By The Way,BTW
Bye For Now,BFN
Chicks,CHX
Christmas or Christmas day,xmas
For Real,FR
For The Win,FTW
For Your Information,FYI
Get The Fuck Out,GTFO
Girlfriend,GF
Good Game,GG
Good night,GN
laugh,hh
Have A Nice Day,HAND
How I feel when,HIFW
Hugs And Kisses,XOXO
Happy Birthday,HBD
Hugs And Kisses,HAK
I ain't coming back,IACB
I don't care,IDC
I Don't Know,IDK
I Feel Your Pain,IFYP
I Hate You,IH8U
I have no idea,IHNI
I Know Right,IKR
I Love You,ILY
I Love You,ILU
I Miss You,IMY
In Real Life,IRL
If I Remember Correctly,IIRC
In My Honest Opinion,IMHO
In My Opinion,IMO
Just Kidding,JK
Just so you know,JSYK
Keep It Simple Stupid,KISS
Keeping parents clueless,KPS
Late,l8r
Laughing my ass off,LMAO
Laughing out loud,LOL
Love,<3
Loving The Weather Today,LTWT
My face when,MFW
My reaction when,MRW
Message,MSG
Nevermind,NVM
No problem,NP
Not a Number,NaN
Oh My God,OMG
On The Way,OTW
Overpowered,OP
Parent at home,PAH
Parent behind back,PBB
Parent in the room,PITR
Parent over my shoulder,POMS
Parents are watching,PAW
Profile picture,PFP
Please,PLS
Public Service Announcement,PSA
Please,PLZ
Read the fucking manual,RTFM
Really,RLY
Rolling on the Floor Laughing,ROFL
Rolling on the Floor Laughing,ROTFL
Sealed With a Kiss,SWAK
See You,CU
See You Later,CUL8R
Shaking My Head,SMH
Shut The Fuck Up,STFU
Significant Other,SO
Tired,ZZZ
So Much,SM
So What's Your Problem?,SWYP
Stop What You're Doing,SWYD
Such A Laugh,SAL
Talk To You Later,TTYL
Thank You so Much,TYSM
Thank you,TY
Thanks,THX
That Feel When,TFW
That Makes Sense,TMS
Thinking of You,TOU
Tonight,2nite
Tonight,2NYT
To Be Announced,TBA
To Be Honest,TBH
Too Long Didn't Read,TLDR
Too Much Information,TMI
Trying Not To Laugh,TNTL
You Only Live Once,YOLO
You're on Your Own,YOYO
You're Welcome,YW
Your,UR
Very,HELLA
What Are You Doing,WYD
What Do You Mean By That,WDYM
What The Fuck,WTF
What The Hell,WTH
Whatever,Whatevs
Where Are You At,WAY
Wish You Were Here,WYWH
With,W/
Without,W/O
Works For Me,WFM
Be,b
See,c
Okay,k
Okay,kk
Oh,o
You,u
You are,ur
Give Me A Fucking Break,GMAFB
Get the fuck out of here,GTFOOH
Shut the fuck up,STFU
Hat tip,HT
Retweet,RT
Direct Message,DM
Modified Tweet,MT
Instagram,IG
Facebook,FB
